stno,stat_name,SLV_m,LON,LAT,CITY,ADD,START,END,NOTE,OLD,NEW,url_nam,url_nam25
C1V450,鳳森,61.0,120.3845,22.538,高雄市,小港區水庫段56地號(鳳山水庫警衛室旁),1992/05/01,2012/07/31,因移位，於2012/7/31更變為(C1V451)站。,　,C1V451,%E9%B3%B3%E6%A3%AE,%25E9%25B3%25B3%25E6%25A3%25AE
C1V451,鳳森,51.0,120.3926,22.5452,高雄市,小港區水庫段96-1地號(鳳山給水廠內),2012/07/31,2013/09/13,因擴充為氣象站，於2013/12/1升級為(C0V450)站。,C1V450,C0V450,%E9%B3%B3%E6%A3%AE,%25E9%25B3%25B3%25E6%25A3%25AE
C1V460,楠溪,1857.0,120.8926,23.4364,高雄市,桃源區(楠溪林道17k處愛玉工寮，車程約1小時),1993/03/06,2017/02/02,　,　,　,%E6%A5%A0%E6%BA%AA,%25E6%25A5%25A0%25E6%25BA%25AA
C1V530,阿蓮,34.0,120.3276,22.8832,高雄市,阿蓮區民生路94號(阿蓮區公所),2012/01/01,2013/07/31,因擴充為氣象站，於2013/8/1升級為(C0V530)站。,　,C0V530,%E9%98%BF%E8%93%AE,%25E9%2598%25BF%25E8%2593%25AE
C1X010,岸內,15.0,120.2605,23.3298,臺南市,鹽水區岸內里96號,1993/03/01,2015/05/26,　,　,　,%E5%B2%B8%E5%85%A7,%25E5%25B2%25B8%25E5%2585%25A7
C1X030,白河,33.0,120.429,23.3252,臺南市,白河區崁頭里65號白河農場(崁子頭839號),1993/03/01,2015/05/19,　,　,　,%E7%99%BD%E6%B2%B3,%25E7%2599%25BD%25E6%25B2%25B3
C1X050,東河,19.0,120.3853,23.2969,臺南市,東山區東河里吉貝耍64號(東河水利工作站),1993/03/01,2015/04/10,因擴充為氣象站及移位，於2015/7/1升級為(C0X050)站。,　,C0X050,%E6%9D%B1%E6%B2%B3,%25E6%259D%25B1%25E6%25B2%25B3
C1X060,下營,19.0,120.2563,23.226999999999997,臺南市,下營區仁里里下營國小附近,1993/03/01,2015/05/13,因擴充為氣象站，於2015/7/1升級為(C0X060)站。,　,C0X060,%E4%B8%8B%E7%87%9F,%25E4%25B8%258B%25E7%2587%259F
C1X070,北門,4.0,120.1249,23.2682,臺南市,北門區北門里舊悜119號(北門電信局後方觀測坪),1993/03/01,2015/06/02,　,　,　,%E5%8C%97%E9%96%80,%25E5%258C%2597%25E9%2596%2580
C1X090,七股,6.0,120.1461,23.1418,臺南市,七股區昭明國中後方,1993/03/01,2015/05/29,　,　,　,%E4%B8%83%E8%82%A1,%25E4%25B8%2583%25E8%2582%25A1
C1Z010,卓樂,198.0,121.2716,23.296999999999997,花蓮縣,卓溪鄉卓清村卓樂社區長老教會旁,1997/07/01,2017/09/16,原(C1Z010)站因移位升氣，於2017/12/1變更為(C0Z170)站。,　,C0Z170,%E5%8D%93%E6%A8%82,%25E5%258D%2593%25E6%25A8%2582
C1Z020,明里,211.0,121.2623,23.2088,花蓮縣,富里鄉明里村明里社區後方山上,1997/07/01,2010/06/30,因擴充為氣象站，於2010/7/1升級為(C0Z020)站。,　,C0Z020,%E6%98%8E%E9%87%8C,%25E6%2598%258E%25E9%2587%258C
